counter,county,state,address_cross
458,"El Paso","TX","10505   GRAN CIMA LN 705 G"
459,"El Paso","TX","10505   GRAN CIMA LN 913 E"
460,"El Paso","TX","10506   GRAN CIMA LN   105"
461,"El Paso","TX","10508   ASHWOOD DR B"
462,"El Paso","TX","10514   ASHWOOD DR A"
463,"El Paso","TX","10514   ASHWOOD DR C"
464,"El Paso","TX","10516   ASHWOOD DR C"
465,"El Paso","TX","10517   ASHWOOD DR 406"
466,"El Paso","TX","10517   ASHWOOD DR 507"
467,"El Paso","TX","10517   ASHWOOD DR 507 5"
468,"El Paso","TX","10517   ASHWOOD DR 508 5"
469,"El Paso","TX","10517   ASHWOOD DR 509 5"
470,"El Paso","TX","10524   ASHWOOD DR C"
471,"El Paso","TX","10524   SHANNON PL D"
472,"El Paso","TX","10525   ASHWOOD DR B"
473,"El Paso","TX","10526   DYER ST   A"
474,"El Paso","TX","10535   MONTWOOD DR   6"
475,"El Paso","TX","10535   MONTWOOD DR   B"
476,"El Paso","TX","10535   MONTWOOD DR 100"
477,"El Paso","TX","10535   MONTWOOD DR 100 H"
478,"El Paso","TX","10535   MONTWOOD DR 100 K"
479,"El Paso","TX","10535   MONTWOOD DR 111 L"
480,"El Paso","TX","10535   MONTWOOD DR 112 K"
481,"El Paso","TX","10535   MONTWOOD DR 123 M"
482,"El Paso","TX","10535   MONTWOOD DR 124"
483,"El Paso","TX","10535   MONTWOOD DR 125"
484,"El Paso","TX","10535   MONTWOOD DR 145 O"
485,"El Paso","TX","10535   MONTWOOD DR 147 P"
486,"El Paso","TX","10535   MONTWOOD DR 158"
487,"El Paso","TX","10535   MONTWOOD DR 158 R"
488,"El Paso","TX","10535   MONTWOOD DR 162"
489,"El Paso","TX","10535   MONTWOOD DR 171"
490,"El Paso","TX","10535   MONTWOOD DR 183 U"
491,"El Paso","TX","10535   MONTWOOD DR 187"
492,"El Paso","TX","10535   MONTWOOD DR 191"
493,"El Paso","TX","10535   MONTWOOD DR 196 U"
494,"El Paso","TX","10535   MONTWOOD DR 2 A"
495,"El Paso","TX","10535   MONTWOOD DR 21 C"
496,"El Paso","TX","10535   MONTWOOD DR 211"
497,"El Paso","TX","10535   MONTWOOD DR 22"
498,"El Paso","TX","10535   MONTWOOD DR 22 C"
499,"El Paso","TX","10535   MONTWOOD DR 26 C"
500,"El Paso","TX","10535   MONTWOOD DR 35 D"
501,"El Paso","TX","10535   MONTWOOD DR 36 E"
502,"El Paso","TX","10535   MONTWOOD DR 39 E"
503,"El Paso","TX","10535   MONTWOOD DR 4 C"
504,"El Paso","TX","10535   MONTWOOD DR 40 E"
505,"El Paso","TX","10535   MONTWOOD DR 42"
506,"El Paso","TX","10535   MONTWOOD DR 48 F"
507,"El Paso","TX","10535   MONTWOOD DR 48 J"
508,"El Paso","TX","10535   MONTWOOD DR 53 G"
509,"El Paso","TX","10535   MONTWOOD DR 6"
510,"El Paso","TX","10535   MONTWOOD DR 70 H"
511,"El Paso","TX","10535   MONTWOOD DR 72 H"
512,"El Paso","TX","10535   MONTWOOD DR 72H"
513,"El Paso","TX","10535   MONTWOOD DR 8 B"
514,"El Paso","TX","10535   MONTWOOD DR 93 J"
515,"El Paso","TX","10535   MONTWOOD DR F47"
516,"El Paso","TX","10535   MONTWOOD DR J"
